Power_Jump_Watts,Current_Jump_Amps,Appliance_Name,Event_Type,Source,Rated_Watts_Ref
33.4,0.154,Fan,ON,user_existing,
44.4,0.174,Fan,ON,user_existing,
47.9,0.214,Fan,ON,user_existing,
25.3,0.093,Fan,ON,user_existing,
56.6,0.25,Fan,ON,user_existing,
15.3,0.052,Fan,ON,user_existing,
47.7,0.213,Fan,ON,user_existing,
36.0,0.165,Fan,ON,user_existing,
37.6,0.144,Fan,ON,user_existing,
30.3,0.141,Fan,ON,user_existing,
45.1,0.176,Fan,ON,user_existing,
36.8,0.168,Fan,ON,user_existing,
37.5,0.144,Fan,ON,user_existing,
8.5,0.057,Phone Charger,ON,user_existing,
6.3,0.056,Phone Charger,ON,user_existing,
4.7,0.03,Phone Charger,ON,user_existing,
8.0,0.055,Phone Charger,ON,user_existing,
6.2,0.058,Phone Charger,ON,user_existing,
4.4,0.028,Phone Charger,ON,user_existing,
8.7,0.06,Phone Charger,ON,user_existing,
7.1,0.066,Phone Charger,ON,user_existing,
3.3,0.021,Phone Charger,ON,user_existing,
7.4,0.071,Phone Charger,ON,user_existing,
6.0,0.033,Phone Charger,ON,user_existing,
4.7,0.031,Phone Charger,ON,user_existing,
37.5,0.277,Laptop Charger,ON,user_existing,
13.9,0.089,Laptop Charger,ON,user_existing,
41.2791,0.140866,Fan,ON,synthetic_catalog,60
49.162,0.233452,Fan,ON,synthetic_catalog,60
32.0688,0.123361,Fan,ON,synthetic_catalog,60
15.6089,0.157856,Fan,ON,synthetic_catalog,60
25.1868,0.180856,Fan,ON,synthetic_catalog,60
52.4807,0.16655,Fan,ON,synthetic_catalog,60
56.9358,0.1388,Fan,ON,synthetic_catalog,60
53.7987,0.254824,Fan,ON,synthetic_catalog,60
41.3518,0.163778,Fan,ON,synthetic_catalog,60
53.0674,0.2555,Fan,ON,synthetic_catalog,60
44.1602,0.140711,Fan,ON,synthetic_catalog,60
17.9945,0.078932,Fan,ON,synthetic_catalog,60
42.8985,0.156294,Fan,ON,synthetic_catalog,60
28.4295,0.181881,Fan,ON,synthetic_catalog,60
23.3254,0.098165,Fan,ON,synthetic_catalog,60
60.0,0.227063,Fan,ON,synthetic_catalog,60
54.6813,0.151797,Fan,ON,synthetic_catalog,60
28.3817,0.123943,Fan,ON,synthetic_catalog,60
-53.5627,-0.20463,Fan,OFF,synthetic_catalog,60
-24.8883,-0.156642,Fan,OFF,synthetic_catalog,60
-27.8652,-0.204233,Fan,OFF,synthetic_catalog,60
-17.6113,-0.168508,Fan,OFF,synthetic_catalog,60
-51.7102,-0.289041,Fan,OFF,synthetic_catalog,60
-40.2753,-0.146584,Fan,OFF,synthetic_catalog,60
-35.1091,-0.194135,Fan,OFF,synthetic_catalog,60
-56.0685,-0.163484,Fan,OFF,synthetic_catalog,60
-42.6141,-0.214678,Fan,OFF,synthetic_catalog,60
-15.1782,-0.175362,Fan,OFF,synthetic_catalog,60
-50.0293,-0.14518,Fan,OFF,synthetic_catalog,60
-42.645,-0.188036,Fan,OFF,synthetic_catalog,60
-29.3207,-0.161136,Fan,OFF,synthetic_catalog,60
-52.7616,-0.18278,Fan,OFF,synthetic_catalog,60
-26.6061,-0.11221,Fan,OFF,synthetic_catalog,60
-23.8291,-0.18547,Fan,OFF,synthetic_catalog,60
-22.0372,-0.210987,Fan,OFF,synthetic_catalog,60
-45.8599,-0.125649,Fan,OFF,synthetic_catalog,60
53.907,0.265257,Laptop Charger,ON,synthetic_catalog,60
37.3829,0.22756,Laptop Charger,ON,synthetic_catalog,60
28.3833,0.152511,Laptop Charger,ON,synthetic_catalog,60
32.8281,0.178668,Laptop Charger,ON,synthetic_catalog,60
42.3505,0.279827,Laptop Charger,ON,synthetic_catalog,60
65.0,0.268133,Laptop Charger,ON,synthetic_catalog,60
40.4162,0.163607,Laptop Charger,ON,synthetic_catalog,60
39.2117,0.1614,Laptop Charger,ON,synthetic_catalog,60
40.1014,0.275856,Laptop Charger,ON,synthetic_catalog,60
46.1892,0.145721,Laptop Charger,ON,synthetic_catalog,60
